motion_param,metric,n_empirical,n_null,mean_empirical,std_empirical,mean_null,std_null,effect_size,mann_whitney_u,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni
rot_x,PLV,84,6882,0.1940194746375901,0.10599109868906709,0.16414159291887628,0.08789461796093058,0.029877881718713806,336039.0,0.005156120908794596,0.010312241817589192,0.03093672545276758,True,True,True
rot_x,awPLV,84,6882,0.29720130303842085,0.1628279632988155,0.24840219374443714,0.13803933437695082,0.048799109293983706,341963.0,0.0019351789088108543,0.0038703578176217087,0.011611073452865127,True,True,True
rot_y,PLV,84,6882,0.195602374776233,0.09793582356190741,0.16236429491990056,0.087425405245908,0.033238079856332425,346109.0,0.000920200878282673,0.002760602634848019,0.005521205269696038,True,True,True
rot_y,awPLV,84,6882,0.28904836304240267,0.15620601942075305,0.24614449854202208,0.1269403583514832,0.042903864500380584,334123.0,0.006935335686066226,0.01040300352909934,0.04161201411639736,True,True,True
rot_z,PLV,84,6882,0.18363574691566484,0.10693545513195907,0.16345338924715397,0.08936587105685304,0.02018235766851087,317654.0,0.05918637483643,0.071023649803716,0.35511824901858,False,False,False
rot_z,awPLV,84,6882,0.27446890912619903,0.15667966578320497,0.22939567327110177,0.12014930683134803,0.04507323585509726,331565.0,0.010144292612079433,0.01217315113449532,0.060865755672476596,True,True,False
trans_x,PLV,84,6882,0.18378859212570434,0.09205953406439918,0.1623694842950471,0.08892527650478825,0.02141910783065723,329183.0,0.014227812681142824,0.021341719021714237,0.08536687608685695,True,True,False
trans_x,awPLV,84,6882,0.2856076696877147,0.1318394513889423,0.24198805630892536,0.12508008195086143,0.04361961337878936,346717.0,0.000821860746704804,0.002465582240114412,0.004931164480228824,True,True,True
trans_y,PLV,84,6882,0.2038547497259195,0.10632764525544779,0.1621310571813718,0.08897427390747985,0.04172369254454769,353663.0,0.00021000562669408406,0.0012600337601645043,0.0012600337601645043,True,True,True
trans_y,awPLV,84,6882,0.3059728410187394,0.16765169112746642,0.2466291354470911,0.12992751164375196,0.05934370557164828,349340.0,0.0004987864267458515,0.002465582240114412,0.002992718560475109,True,True,True
trans_z,PLV,84,6882,0.154045042492953,0.09433364192052944,0.1610613909484297,0.0870201731540273,-0.00701634845547669,269936.0,0.8515330995033015,0.8515330995033015,1.0,False,False,False
trans_z,awPLV,84,6882,0.2438187292286336,0.13642097061171926,0.23663190072315518,0.12270712246261965,0.007186828505478415,292100.0,0.4337702092358713,0.4337702092358713,1.0,False,False,False
